lon,lat,country_name,country_code_iso3,pm_2000,fpm_2000,pm_2050_45,fpm_2050_45,pm_2050_85,fpm_2050_85,pm_2100_45,fpm_2100_45,pm_2100_85,fpm_2100_85,n_months,fpm_2100_rcp_chg,fpm_2050_rcp_chg,fpm_2050_45_base_chg,fpm_2050_85_base_chg,fpm_2100_45_base_chg,fpm_2100_85_base_chg
-180,-70.20942687988281,NA,NA,0.4498533395429452,0.0026516069968541465,0.6536032557487488,0.0027241607507069907,0.5604104200998942,0.002236058314641317,0.5808886488278707,0.0022132880985736847,0.5145656230549017,0.0013306277493635814,12,-8.826603492101033e-4,-4.8810243606567383e-4,7.255375385284424e-5,-4.155486822128296e-4,-4.383188982804618e-4,-0.001320979247490565
-180,-69.26701354980469,NA,NA,0.4945807717740536,0.002604252348343531,0.7257816046476364,0.002667094270388285,0.6386803314089775,0.00219707190990448,0.6507982897261778,0.0021985595424969992,0.5613001883029938,0.0013380845387776692,12,-8.6047500371933e-4,-4.700223604838052e-4,6.284192204475403e-5,-4.0718043843905117e-4,-4.056928058465319e-4,-0.001266167809565862
-180,-68.3246078491211,NA,NA,0.5629849843680859,0.002574983984231949,0.8323447331786156,0.002605890234311422,0.7465228885412216,0.0023011863231658936,0.7540784229834875,0.002189574142297109,0.6308373138308525,0.0013640845815340679,12,-8.254895607630413e-4,-3.047039111455283e-4,3.0906250079473004e-5,-2.737976610660553e-4,-3.8540984193483974e-4,-0.001210899402697881
-180,-67.3822021484375,NA,NA,0.6551278953750929,0.0026310806473096213,0.9714929858843485,0.0026822214325269065,0.8834782615303993,0.0024269421895345054,0.8932976971069971,0.0022903382778167725,0.7241976211468378,0.0013990600903828938,12,-8.912781874338787e-4,-2.552792429924011e-4,5.1140785217285156e-5,-2.0413845777511597e-4,-3.4074236949284886e-4,-0.0012320205569267275
-180,-66.439788818359375,NA,NA,0.7729598258932432,0.002735704183578491,1.1223833064238231,0.002850408355394999,1.0509996910889943,0.0026101420323053994,1.0543767263491948,0.0026176820198694863,0.8552863920728365,0.0014780883987744649,12,-0.0011395936210950215,-2.402663230895996e-4,1.1470417181650783e-4,-1.2556215127309178e-4,-1.1802216370900486e-4,-0.0012576157848040264
-180,-65.49738311767578,NA,NA,0.9287547816832861,0.002988159656524658,1.3068367888530095,0.0030972311894098916,1.2504399716854095,0.002852410078048706,1.2587258517742157,0.0029508074124654136,1.040334592262904,0.001541311542193095,12,-0.0014094958702723186,-2.4482111136118557e-4,1.0907153288523342e-4,-1.3574957847595215e-4,-3.735224405924465e-5,-0.0014468481143315632
-180,-64.55497741699219,NA,NA,1.1321899990240734,0.003356089194615682,1.5609818796316783,0.0035344560941060386,1.4610644578933716,0.00334736704826355,1.5377138654390972,0.00343036154905955,1.2600298871596654,0.0018278857072194417,12,-0.0016024758418401082,-1.8708904584248875e-4,1.7836689949035645e-4,-8.722146352132306e-6,7.427235444386771e-5,-0.0015282034873962405
-180,-63.61256408691406,NA,NA,1.3714290261268616,0.003712912400563558,1.8300314942995708,0.004003991683324178,1.6589609781901042,0.0038805405298868814,1.8119355936845143,0.003954052925109863,1.509070098400116,0.0022721787293752036,12,-0.0016818741957346597,-1.234511534372964e-4,2.910792827606197e-4,1.6762812932332328e-4,2.411405245463052e-4,-0.0014407336711883545
-180,-62.67015838623047,NA,NA,1.6040705343087514,0.0041053394476572675,2.0364132821559906,0.004588872194290161,1.8258509238560994,0.00444100300470988,2.017085293928782,0.004653185606002808,1.7757250467936199,0.002661973237991333,12,-0.0019912123680114746,-1.4786918958028129e-4,4.835327466328936e-4,3.356635570526123e-4,5.478461583455401e-4,-0.0014433662096659345
-180,-61.72774887084961,NA,NA,1.7803866267204285,0.004680206378300984,2.2022883196671805,0.005277196566263835,1.9661920169989269,0.005026926596959432,2.1950426399707794,0.005426297585169475,2.0025809009869895,0.0030504465103149414,12,-0.002375851074854533,-2.5026996930440325e-4,5.969901879628505e-4,3.4672021865844727e-4,7.460912068684902e-4,-0.001629759867986043
-180,-60.78533935546875,NA,NA,1.9357316096623738,0.005367418130238851,2.328569104274114,0.006124188502629598,2.1029894848664603,0.005718588829040527,2.3324482440948486,0.0063008467356363935,2.1928765773773193,0.0035233000914255777,12,-0.002777546644210816,-4.0559967358907035e-4,7.567703723907471e-4,3.511706988016767e-4,9.334286053975429e-4,-0.001844118038813273
